序号,标签中文名称,标签字段名,标签编码,标签值类型,标签值数据类型,可选值/约束,数据来源,描述,一级分类,二级分类,三级分类,更新频率,标签状态,标签对象,标签应用场景,是否主标签,依赖标签,备注
1,性别,gender,BASIC_001,单选,字符串,"男, 女",用户填写,用户的性别信息,语义基本信息,人口属性,基础信息,低,启用,个人,用户建档,是,,
2,出生年份,birth_year,BASIC_002,数值,整数,1900-2020,用户填写,用于计算年龄,语义基本信息,人口属性,基础信息,低,启用,个人,用户建档,是,,
3,婚姻状况,marital_status,BASIC_003,单选,字符串,"已婚, 未婚, 离异",用户填写,婚姻状态,语义基本信息,人口属性,家庭信息,低,启用,个人,用户建档,是,,
4,子女数量,children_count,BASIC_004,数值,整数,0-10,用户填写,家庭成员数量,语义基本信息,人口属性,家庭信息,低,启用,个人,用户建档,否,,
5,年收入,annual_income,FIN_001,数值,整数,1000-1000000,用户填写,评估支付能力,财务状况,收入水平,综合收入,中,启用,个人,风险评估,是,,
6,房产情况,house_status,FIN_002,单选,字符串,"无房, 按揭, 全款",用户填写,体现经济能力,财务状况,资产状况,不动产,低,启用,个人,风险评估,否,,
7,健康保障偏好,health_pref,PREF_001,多选,数组,"重疾, 医疗, 体检",用户填写,关注的健康保障类型,保障偏好,保险类型,健康保障,中,启用,个人,产品推荐,是,,
8,教育保障偏好,edu_pref,PREF_002,多选,数组,"少儿教育, 留学, 培训",用户填写,教育相关保障关注,保障偏好,保险类型,教育保障,中,启用,个人,产品推荐,否,,
9,意外险偏好,accident_pref,PREF_003,单选,字符串,"高保障, 中等保障, 无需",用户填写,对意外险的偏好,保障偏好,保险类型,意外保障,中,启用,个人,产品推荐,否,,
10,消费频次,purchase_freq,BEHAV_001,数值,整数,0-50,用户填写,近一年保险相关消费次数,行为偏好,购买行为,消费频次,高,启用,个人,行为建模,是,,
11,自助投保意愿,self_insure_intent,BEHAV_002,单选,字符串,"强, 一般, 弱",用户填写,偏好自主完成购买,行为偏好,购买行为,自主程度,中,启用,个人,产品匹配,否,,
12,人工服务偏好,cs_pref,CS_001,单选,字符串,"电话, 在线, 无需",用户填写,客服沟通方式偏好,客服交互,服务渠道,偏好渠道,中,启用,个人,客服体验,是,,
13,投诉意愿,complaint_intent,CS_002,单选,字符串,"强, 弱",用户填写,是否倾向投诉,客服交互,服务反馈,投诉意向,高,启用,个人,服务优化,否,,
14,是否查看过促销信息,promo_viewed,MKT_001,布尔,布尔,true/false,用户填写,用户是否主动了解营销内容,营销反应,促销行为,促销查看,高,启用,个人,转化分析,否,,
15,是否注册会员,is_member,MKT_002,布尔,布尔,true/false,用户填写,营销闭环标志,营销反应,用户生命周期,注册行为,低,启用,个人,会员体系,是,,
16,保险知识熟悉度,ins_knowledge,BEHAV_003,单选,字符串,"高, 中, 低",用户填写,用户对保险的了解程度,行为偏好,认知水平,知识熟悉度,中,启用,个人,教育推荐,否,,
17,是否投保过医疗险,had_health_ins,BEHAV_004,布尔,布尔,true/false,用户填写,用户既往投保行为,行为偏好,历史行为,投保记录,中,启用,个人,复购预测,是,,
18,职业类型,occupation_type,BASIC_005,单选,字符串,"公务员, 企业员工, 自由职业",用户填写,用于评估风险等级,语义基本信息,职业信息,行业分类,低,启用,个人,风险评估,是,,
19,所在城市等级,city_level,BASIC_006,单选,字符串,"一线, 二线, 三线",用户填写,城市与保险消费能力有关,语义基本信息,地理位置,城市级别,中,启用,个人,营销策略,否,,
20,是否关注公众号,follow_wechat,MKT_003,布尔,布尔,true/false,用户填写,作为营销触点,营销反应,社交行为,公众号关注,中,启用,个人,内容触达,否,,
